W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
productivity	NN	in	IN	.	.	*	END
million	CD	to	TO	for	IN	a	DT
known	VBN	as	IN	Solidaria	NNS	,	,
as	IN	Red	JJ	,	,	designed	VBN
bombing	NN	in	IN	Saturday	NNP	killed	VBN
in	IN	the	DT	Baghdad	NN	district	NN
the	DT	New	NNP	district	NN	,	,
flock	NN	to	TO	's	POS	holy	NN
city	NN	of	IN	for	IN	the	DT
the	DT	eastern	JJ	district	NN	of	IN
district	NN	of	IN	City	NNP	.	.
of	IN	Sadr	NN	.	.	*	END
city	NN	of	IN	targeted	VBN	the	DT
streets	NNS	in	IN	really	RB	paved	VBN
immigrated	VBN	from	IN	to	TO	the	DT
to	TO	the	DT	States	NNS	,	,
the	DT	United	NNP	,	,	learned	VBN
from	IN	an	DT	lottery	NN	.	.
oath	NN	of	IN	citizenship	NN	.	.
happen	VB	in	IN	.	.	*	END
sanctions	NNS	against	IN	Korea	NNP	if	IN
against	IN	North	NN	if	IN	Pyongyang	NN
Korea	NNP	if	IN	tests	NNS	a	DT
general	JJ	of	IN	's	POS	ruling	NN
'	''	for	IN	to	TO	do	VB
nothing	NN	should	MD	Korea	NNP	conduct	NN
should	MD	North	NN	conduct	NN	such	JJ
*	*	*	START	officials	NNS	have	VB
warned	VBD	that	IN	Korea	NNP	may	MD
that	IN	North	NN	may	MD	be	VB
town	NN	of	IN	.	.	*	END
and	CC	prompt	NN	and	CC	its	PRP$
*	*	*	START	Korea	NNP	has	VBZ
*	START	North	NN	has	VBZ	warned	VBD
Authorities	NNS	in	IN	say	VB	a	DT
in	IN	central	JJ	early	RB	Monday	NNP
government	NN	,	,	forces	NNS	and	CC
,	,	the	DT	military	JJ	says	VBZ
*	*	*	START	and	CC	Iraqi	NN
in	IN	the	DT	River	NN	valley	NN
the	DT	Euphrates	NNS	valley	NN	to	TO
Sunday	NNP	,	,	's	POS	Sunni	NN
assistance	NN	in	IN	Tuesday	NNP	at	IN
*	START	The	DT	States	NNS	is	VBZ
The	DT	United	NNP	is	VBZ	expected	VBN
sent	NN	to	TO	from	IN	overseas	RB
from	IN	the	DT	States	NNS	and	CC
the	DT	United	NNP	and	CC	the	DT
communities	NNS	in	IN	,	,	Miami	NN
Boston	NNP	,	,	,	,	and	CC
came	VBD	from	IN	,	,	France	NNP
Canada	NNP	,	,	,	,	and	CC
and	CC	the	DT	.	.	*	END
*	*	*	START	's	POS	Prime	NNP
deal	NN	with	IN	has	VBZ	been	VBN
calls	NNS	for	IN	to	TO	pay	NN
to	TO	pay	NN	nearly	RB	twice	RB
deliveries	NNS	to	TO	.	.	*	END
crisis	NN	in	IN	,	,	and	CC
*	*	*	START	's	POS	banks	NNS
group	NN	says	VBZ	's	POS	military-led	JJ
port	NN	near	IN	to	TO	verify	NN
Network	NN	's	POS	bureau	NN	.	.
coast	NN	of	IN	's	POS	Sumatra	NNP
Indonesia	NN	's	POS	Island	NN	since	IN
's	POS	Sumatra	NNP	since	IN	early	RB
attacks	NNS	on	IN	's	POS	transport	NN
extradited	VBN	from	IN	to	TO	Britain	NNP
Italy	NNP	to	TO	.	.	*	END
,	,	left	NN	's	POS	Ciampino	NN
Rome	NN	's	POS	airport	NN	around	IN
,	,	for	IN	.	.	*	END
citizen	NN	in	IN	a	DT	week	NN
chaos	NN	to	TO	two	CD	weeks	NNS
*	*	*	START	's	POS	highest	JJS
The	DT	surging	VBG	River	NN	spilled	VBN
surging	VBG	Mississippi	NNP	spilled	VBN	over	IN
state	NN	of	IN	and	CC	is	VBZ
the	DT	central	JJ	States	NNS	.	.
central	JJ	United	NNP	.	.	*	END
the	DT	central	JJ	have	VB	already	RB
*	START	Central	JJ	river	NN	towns	NNS
state	NN	of	IN	's	POS	largest	JJS
Meanwhile	RB	,	,	is	VBZ	cleaning	NN
Tuesday	NNP	,	,	President	NNP	George	NNP
to	TO	visit	NN	Thursday	NNP	to	TO
*	START	A	DT	government	NN	audit	NN
working	VBG	on	IN	reconstruction	NN	projects	NNS
projects	NNS	in	IN	.	.	*	END
by	IN	all	DT	government	NN	contractors	NNS
'	''	Operation	NN	,	,	'	''
meeting	NN	in	IN	to	TO	formally	RB
formally	RB	welcome	NN	into	IN	the	DT
member	NN	nations	NNS	,	,	Brazil	NNP
Argentina	NNP	,	,	,	,	Paraguay	NN
Brazil	NNP	,	,	and	CC	Uruguay	NN
Paraguay	NN	and	CC	are	VBP	to	TO
tariffs	NNS	to	TO	.	.	*	END
exports	NNS	to	TO	.	.	*	END
*	*	*	START	is	VBZ	an	DT
Meanwhile	RB	,	,	's	POS	President	NNP
policies	NNS	by	IN	and	CC	Argentina	NNP
Brazil	NNP	and	CC	.	.	*	END
earthquake	NN	shook	NN	's	POS	Aceh	NN
Indonesia	NN	's	POS	province	NN	just	RB
capital	NN	of	IN	Aceh	NN	.	.
of	IN	Banda	NNP	.	.	*	END
coast	NN	of	IN	triggered	VBN	the	DT
1,31,000	CD	in	IN	.	.	*	END
*	*	*	START	Democratic	JJ	senators	NNS
,	,	from	IN	said	VBD	in	IN
crossing	VBG	the	DT	of	IN	Aden	NNP
the	DT	Gulf	NNP	Aden	NNP	on	IN
Gulf	NNP	of	IN	on	IN	their	PRP$
way	NN	to	TO	.	.	*	END
originated	VBN	from	IN	and	CC	most	JJS
violence	NN	in	IN	and	CC	often	RB
Police	NNS	in	IN	say	VB	attackers	NNS
capital	NN	,	,	.	.	*	END
Farid	NN	was	VBD	's	POS	prime	NN
Thursday	NNP	in	IN	,	,	killing	VBG
coalition	NN	in	IN	was	VBD	killed	VBN
Insurgents	NNS	in	IN	killed	VBN	at	IN
northeast	NN	of	IN	.	.	*	END
nine	CD	in	IN	.	.	*	END
town	NN	,	,	Ruz	NN	,	,
,	,	Balad	NN	,	,	police	NNS
say	VB	on	IN	U.S.	NNP	soldiers	NNS
on	IN	Saturday	NNP	soldiers	NNS	killed	VBN
town	NN	of	IN	.	.	*	END
In	IN	northern	JJ	,	,	police	NNS
town	NN	of	IN	.	.	*	END
travel	NN	to	TO	early	RB	next	JJ
to	TO	inspect	NN	's	POS	heavy	JJ
city	NN	of	IN	.	.	*	END
sanctions	NNS	on	IN	because	IN	of	IN
*	START	The	DT	States	NNS	and	CC
The	DT	United	NNP	and	CC	its	PRP$
allies	NNS	accuse	NN	of	IN	trying	VBG
,	,	but	CC	says	VBZ	its	PRP$
Shi'ites	NNS	in	IN	,	,	just	RB
hours	NNS	after	IN	Secretary	NNP	of	IN
neighborhood	NN	in	IN	,	,	killing	VBG
town	NN	of	IN	Ruz	NN	,	,
of	IN	Balad	NN	,	,	northeast	NN
northeast	NN	of	IN	.	.	*	END
in	IN	western	JJ	.	.	*	END
Rumsfeld	NN	visited	VBN	troops	NNS	in	IN
troops	NNS	in	IN	and	CC	Baghdad	NN
Mosul	NN	and	CC	.	.	*	END
city	NN	of	IN	.	.	*	END
have	VB	caused	VBN	to	TO	cut	NN
down	RB	by	IN	officials	NNS	in	IN
,	,	but	CC	officials	NNS	regard	NN
to	TO	recognize	VB	's	POS	right	NN
*	*	*	START	says	VBZ	it	PRP
parts	NNS	of	IN	to	TO	be	VB
*	*	*	START	's	POS	head	NN
city	NN	of	IN	,	,	Greece	NNP
Athens	NNS	,	,	,	,	designated	VBN
protests	NNS	against	IN	's	POS	rule	NN
rule	NN	in	IN	.	.	*	END
operating	NN	in	IN	says	VBZ	it	PRP
World	NN	Vision	NN	chief	NN	Tim	NN
situation	NN	in	IN	is	VBZ	too	RB
World	NN	Vision	NN	's	POS	Iraqi	NN
city	NN	of	IN	.	.	*	END
*	*	*	START	officials	NNS	have	VB
cabinet	NN	in	IN	have	VB	failed	VBD
Wednesday	NNP	in	IN	.	.	*	END
Authorities	NNS	in	IN	say	VB	nine	CD
of	IN	southern	JJ	province	NN	.	.
*	START	The	DT	military	JJ	said	VBD
during	IN	a	DT	helicopter	NN	raid	NN
raid	NN	in	IN	Khost	NN	province	NN
in	IN	southeastern	JJ	province	NN	after	IN
*	*	*	START	's	POS	defense	NN
freed	NN	by	IN	last	JJ	week	NN
killed	VBN	in	IN	and	CC	Afghanistan	NNP
Iraq	NN	and	CC	have	VB	also	RB
detained	VBN	in	IN	for	IN	13	CD
,	,	by	IN	shows	NNS	the	DT
the	DT	western	JJ	state	NN	of	IN
state	NN	of	IN	has	VBZ	helped	VBD
city	NN	of	IN	Barbara	NN	.	.
of	IN	Santa	NNP	.	.	*	END
mourners	NNS	in	IN	's	POS	hometown	NN
's	POS	hometown	NN	and	CC	other	JJ
officials	NNS	in	IN	's	POS	northeastern	JJ
Afghanistan	NNP	's	POS	Nuristan	NN	Province	NN
's	POS	northeastern	JJ	Province	NN	say	VB
northeastern	JJ	Nuristan	NN	say	VB	three	CD
in	IN	the	DT	district	NN	of	IN
district	NN	of	IN	Province	NN	.	.
of	IN	Nuristan	NN	.	.	*	END
ahead	RB	of	IN	's	POS	September	NNP
days	NNS	in	IN	Province	NN	,	,
in	IN	Kandahar	NNP	,	,	a	DT
hospitalized	VBN	in	IN	for	IN	the	DT
left	NN	the	DT	Union	NNP	in	IN
the	DT	Soviet	JJ	in	IN	1974	CD
returned	VBN	to	TO	after	IN	the	DT
of	IN	the	DT	Union	NNP	and	CC
the	DT	Soviet	JJ	and	CC	are	VBP
*	START	The	DT	Internet	NN	giant	NN
state	NN	of	IN	to	TO	run	VB
complex	JJ	in	IN	View	NN	,	,
in	IN	Mountain	NN	,	,	California	NNP
View	NN	,	,	to	TO	generate	NN
about	IN	1,000	CD	homes	NNS	.	.
from	IN	the	DT	Strip	NN	and	CC
the	DT	Gaza	NN	and	CC	four	CD
four	CD	small	JJ	Bank	NNP	enclaves	NNS
small	JJ	West	NNP	enclaves	NNS	later	RB
derail	NN	the	DT	pullout	NN	.	.
settlements	NNS	in	IN	are	VBP	to	TO
the	DT	occupied	VBN	Bank	NNP	.	.
occupied	VBN	West	NNP	.	.	*	END
town	NN	of	IN	today	NN	,	,
at	IN	the	DT	Beach	NN	International	NNP
the	DT	Delray	NN	International	NNP	in	IN
Delray	NN	Beach	NN	in	IN	Florida	NNP
International	NNP	in	IN	.	.	*	END
Friday	NNP	to	TO	's	POS	Guillermo	NNP
Malisse	NN	of	IN	in	IN	the	DT
Mayer	NN	of	IN	06-Jul	NN	,	,
Haas	NN	of	IN	beat	NN	Luxembourg	NN
Germany	NNP	beat	NN	's	POS	Gilles	NNS
Hyung-taik	NN	of	IN	Korea	NNP	(	(
of	IN	South	NNP	(	(	06-Mar	NN
offices	NNS	in	IN	.	.	*	END
questioned	VBN	outside	IN	.	.	*	END
*	*	*	START	denies	NNS	any	DT
bombing	NN	in	IN	that	IN	killed	VBN
has	VBZ	warned	VBD	to	TO	cooperate	NN
year	NN	,	,	was	VBD	forced	VBN
troops	NNS	from	IN	under	IN	intense	NN
Aides	NNS	to	TO	.	.	Senator	NN
state	NN	of	IN	to	TO	her	PRP$
to	TO	her	PRP$	,	,	D.C.	NN
Washington	NNP	,	,	home	NN	for	IN
re-election	NN	in	IN	York	NNP	in	IN
in	IN	New	NNP	in	IN	2006	CD
invitation	NN	of	IN	supporters	NNS	raises	NNS
for	IN	the	DT	presidency	NN	is	VBZ
*	*	*	START	is	VBZ	traditionally	RB
trial	NN	in	IN	Angeles	NNP	federal	JJ
in	IN	Los	NNP	federal	JJ	court	NN
*	START	Aung	NN	Suu	NN	Kyi	NNP
Aung	NN	San	NNP	Kyi	NNP	spoke	NN
San	NNP	Suu	NN	spoke	NN	to	TO
home	NN	in	IN	,	,	and	CC
verbally	RB	challenge	NN	's	POS	ruling	NN
Saturday	NNP	with	IN	's	POS	foreign	JJ
city	NN	of	IN	and	CC	forced	VBN
region	NN	of	IN	Waziristan	NN	bordering	NN
of	IN	North	NN	bordering	NN	Afghanistan	NNP
Waziristan	NN	bordering	NN	.	.	*	END
of	IN	the	DT	embassies	NNS	in	IN
embassies	NNS	in	IN	and	CC	Tanzania	NN
Kenya	NNP	and	CC	.	.	*	END
*	START	The	DT	States	NNS	offered	VBN
The	DT	United	NNP	offered	VBN	a	DT
in	IN	eastern	JJ	say	VB	government	NN
border	NN	with	IN	,	,	wounding	VBG
in	IN	the	DT	Valley	NNP	region	NN
the	DT	Barka	NN	region	NN	near	IN
town	NN	of	IN	,	,	120	CD
kilometers	NNS	south	NN	Sudan	NN	on	IN
south	NN	Port	NN	on	IN	the	DT
on	IN	the	DT	Sea	NNP	.	.
the	DT	Red	JJ	.	.	*	END
troops	NNS	near	IN	early	RB	this	DT
sites	NNS	in	IN	,	,	a	DT
village	NN	of	IN	,	,	where	WRB
of	IN	the	DT	region	NN	to	TO
The	DT	top	NN	military	JJ	commander	NN
commander	NN	in	IN	says	VBZ	Taleban	NN
events	NNS	in	IN	.	.	'	''
reunification	NN	of	IN	gathered	VBN	Saturday	NNP
of	IN	the	DT	Wall	NNP	.	.
*	*	*	START	's	POS	ex-chancellor	NN
,	,	former	JJ	president	NN	George	NNP
gathering	NN	in	IN	for	IN	their	PRP$
in	IN	reunifying	VBG	.	.	*	END
that	IN	although	IN	's	POS	history	NN
II	NN	,	,	was	VBD	divided	VBN
sovereignty	NN	from	IN	Monday	NNP	by	IN
headquarters	NNS	in	IN	.	.	*	END
