W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
his	PRP$	Kadima	NNP	chooses	NNS	a	DT
be	VB	a	DT	spokesman	NN	claimed	NN
the	DT	opposition	NN	Party	NNP	immediately	RB
opposition	NN	Conservative	JJ	immediately	RB	challenged	NN
Tuesday	NNP	,	,	Arab	NN	mourners	NNS
,	,	Sunni	NN	mourners	NNS	in	IN
Internet	NN	giant	NN	is	VBZ	planning	NN
*	*	*	START	says	VBZ	it	PRP
raided	VBN	the	DT	Bank	NNP	Palestinian	JJ
the	DT	West	NNP	Palestinian	JJ	town	NN
West	NNP	Bank	NNP	town	NN	of	IN
*	*	*	START	Nations	NNS	investigators	NNS
*	START	United	NNP	investigators	NNS	have	VB
questioned	VBN	at	IN	offices	NNS	in	IN
by	IN	a	DT	commission	NN	in	IN
*	START	The	DT	Security	NN	Council	NN
The	DT	U.N.	NNP	Council	NN	has	VBZ
U.N.	NNP	Security	NN	has	VBZ	warned	VBD
her	PRP$	2000	CD	campaign	NN	is	VBZ
a	DT	top	NN	Nations	NNS	official	NN
top	NN	United	NNP	official	NN	.	.
staff	NN	for	IN	Secretary-General	JJ	Ban	NN
as	IN	the	DT	Front	NN	said	VBD
the	DT	Eastern	NNP	said	VBD	Friday	NNP
form	NN	the	DT	Front	NN	.	.
the	DT	Eastern	NNP	.	.	*	END
13th	CD	century	NN	Maria	NNS	di	NN
century	NN	Santa	NNP	di	NN	Collemaggio	NN
Santa	NNP	Maria	NNS	Collemaggio	NN	basilica	NN
Maria	NNS	di	NN	basilica	NN	.	.
di	NN	Collemaggio	NN	.	.	*	END
